kills,assists,deaths,total_gold,gold_per_min,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,xp_per_min,rank_tier
0.0,0.0,1.0,3146.0,440.0,0.02,1808.0,0.0,0.0,254.0,4.0
1.0,1.0,1.0,2302.0,322.0,0.04,4593.0,0.0,0.0,309.0,4.0
1.0,0.0,2.0,2280.0,319.0,0.06,2708.0,0.0,0.0,358.0,7.0
0.0,0.0,0.0,1794.0,251.0,0.0,933.0,0.0,0.0,49.0,4.0
3.0,0.0,0.0,2531.0,354.0,0.06,3661.0,0.0,0.0,430.0,4.0
0.0,1.0,0.0,843.0,118.0,0.0,2238.0,0.0,0.0,186.0,6.0
1.0,0.0,0.0,2631.0,368.0,0.08,2088.0,0.0,0.0,299.0,5.0
2.0,0.0,0.0,3171.0,341.0,0.07,3670.0,0.0,0.0,503.0,4.0
2.0,1.0,1.0,3217.0,346.0,0.08,3748.0,0.0,41.0,289.0,5.0
0.0,0.0,1.0,957.0,103.0,0.0,392.0,0.0,0.0,68.0,3.0
1.0,0.0,1.0,2604.0,280.0,0.06,3020.0,0.0,0.0,346.0,3.0
0.0,0.0,0.0,1143.0,123.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,1.0,2.0,2687.0,289.0,0.03,3145.0,0.0,0.0,314.0,5.0
1.0,1.0,2.0,2427.0,261.0,0.03,1552.0,0.0,0.0,258.0,5.0
0.0,3.0,0.0,1254.0,173.0,0.0,1852.0,0.0,0.0,143.0,4.0
0.0,0.0,1.0,1160.0,160.0,0.01,444.0,0.0,0.0,203.0,4.0
1.0,3.0,1.0,2451.0,384.0,0.0,932.0,0.0,329.0,102.0,5.0
0.0,6.0,1.0,1940.0,304.0,0.01,700.0,0.0,911.0,183.0,5.0
0.0,2.0,0.0,2789.0,437.0,0.1,182.0,0.0,858.0,192.0,5.0
0.0,3.0,0.0,1244.0,195.0,0.02,537.0,0.0,0.0,113.0,4.0
1.0,2.0,5.0,1423.0,223.0,0.0,425.0,0.0,0.0,90.0,4.0
0.0,3.0,2.0,1034.0,162.0,0.0,816.0,0.0,0.0,132.0,4.0
0.0,4.0,3.0,1697.0,266.0,0.05,220.0,0.0,0.0,318.0,5.0
5.0,6.0,3.0,8487.0,460.0,0.07,6674.0,0.0,1829.0,316.0,4.0
3.0,6.0,2.0,9999.0,542.0,0.1,7017.0,0.0,1850.0,538.0,6.0
7.0,11.0,4.0,7490.0,406.0,0.02,5106.0,0.0,853.0,309.0,2.0
2.0,0.0,6.0,3173.0,172.0,0.02,1393.0,0.0,71.0,163.0,4.0
4.0,2.0,6.0,6678.0,362.0,0.05,7328.0,0.0,0.0,467.0,6.0
0.0,0.0,1.0,2030.0,142.0,0.0,205.0,0.0,0.0,33.0,4.0
0.0,0.0,2.0,2202.0,154.0,0.02,387.0,0.0,0.0,74.0,4.0
0.0,0.0,2.0,1515.0,106.0,0.0,651.0,0.0,0.0,20.0,4.0
0.0,0.0,2.0,2831.0,198.0,0.01,566.0,1.0,0.0,58.0,6.0
2.0,0.0,5.0,9237.0,646.0,0.01,4105.0,1.0,0.0,302.0,6.0
2.0,1.0,1.0,8522.0,596.0,0.1,2689.0,1.0,4458.0,371.0,6.0
1.0,2.0,0.0,4232.0,296.0,0.01,804.0,0.0,1276.0,144.0,4.0
4.0,0.0,0.0,7879.0,551.0,0.07,5240.0,1.0,4594.0,380.0,5.0
26.0,6.0,1.0,13871.0,798.0,0.09,16683.0,0.0,7221.0,949.0,4.0
0.0,12.0,2.0,5666.0,326.0,0.02,5950.0,0.0,1412.0,325.0,3.0
3.0,5.0,4.0,6762.0,389.0,0.06,6311.0,0.0,631.0,293.0,4.0
4.0,12.0,2.0,7544.0,434.0,0.05,6237.0,0.0,2097.0,368.0,4.0
3.0,2.0,5.0,3563.0,205.0,0.0,5580.0,0.0,0.0,212.0,5.0
0.0,2.0,15.0,3598.0,207.0,0.02,5594.0,0.0,16.0,221.0,4.0
