kda,gold_efficiency,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,rune_pickups,teamfight_participation,xp_per_min,rank_tier
0.0,7.15,0.02,1808.0,0.0,0.0,0,0,254.0,4.0
1.0,7.15,0.04,4593.0,0.0,0.0,0,0,309.0,4.0
0.33,7.15,0.06,2708.0,0.0,0.0,0,0,358.0,7.0
0.0,7.15,0.0,933.0,0.0,0.0,0,0,49.0,4.0
3.0,7.15,0.06,3661.0,0.0,0.0,0,0,430.0,4.0
1.0,7.14,0.0,2238.0,0.0,0.0,0,0,186.0,6.0
1.0,7.15,0.08,2088.0,0.0,0.0,0,0,299.0,5.0
2.0,9.3,0.07,3670.0,0.0,0.0,0,0,503.0,4.0
1.5,9.3,0.08,3748.0,0.0,41.0,0,0,289.0,5.0
0.0,9.29,0.0,392.0,0.0,0.0,0,0,68.0,3.0
0.5,9.3,0.06,3020.0,0.0,0.0,0,0,346.0,3.0
0.0,9.29,0.0,0.0,0.0,0.0,0,0,0.0,3.0
0.33,9.3,0.03,3145.0,0.0,0.0,0,0,314.0,5.0
0.67,9.3,0.03,1552.0,0.0,0.0,0,0,258.0,5.0
3.0,7.25,0.0,1852.0,0.0,0.0,0,0,143.0,4.0
0.0,7.25,0.01,444.0,0.0,0.0,0,0,203.0,4.0
2.0,6.38,0.0,932.0,0.0,329.0,0,0,102.0,5.0
3.0,6.38,0.01,700.0,0.0,911.0,0,0,183.0,5.0
2.0,6.38,0.1,182.0,0.0,858.0,0,0,192.0,5.0
3.0,6.38,0.02,537.0,0.0,0.0,0,0,113.0,4.0
0.5,6.38,0.0,425.0,0.0,0.0,0,0,90.0,4.0
1.0,6.38,0.0,816.0,0.0,0.0,0,0,132.0,4.0
1.0,6.38,0.05,220.0,0.0,0.0,0,0,318.0,5.0
2.75,18.45,0.07,6674.0,0.0,1829.0,0,0,316.0,4.0
3.0,18.45,0.1,7017.0,0.0,1850.0,0,0,538.0,6.0
3.6,18.45,0.02,5106.0,0.0,853.0,0,0,309.0,2.0
0.29,18.45,0.02,1393.0,0.0,71.0,0,0,163.0,4.0
0.86,18.45,0.05,7328.0,0.0,0.0,0,0,467.0,6.0
